,age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude
103,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.061562,1310511,On or near A338,-1.794894
104,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.060044,1310388,On or near Saxon Road,-1.806687
105,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.060044,1310388,On or near Saxon Road,-1.806687
106,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.060044,1310388,On or near Saxon Road,-1.806687
107,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.060044,1310388,On or near Saxon Road,-1.806687
108,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.060468,1310472,On or near St Nicholas' Road,-1.796497
109,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.077047,1310729,On or near Theatre/Concert Hall,-1.800165
110,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-13T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.077047,1310729,On or near Theatre/Concert Hall,-1.800165
111,18-24,Summons / charged by post,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-14T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-summons,Summons / charged by post,51.581079,1318417,On or near Sycamore Grove,-1.780387
112,18-24,Summons / charged by post,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-14T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-summons,Summons / charged by post,51.581079,1318417,On or near Sycamore Grove,-1.780387
