,age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude
21,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-29T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.548477,1317230,On or near Quarry Mews,-1.780486
22,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-29T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.548477,1317230,On or near Quarry Mews,-1.780486
23,10-17,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2021-12-30T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-community-resolution,Community resolution,51.571050,1318092,On or near Parking Area,-1.755805
24,18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-30T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.559505,1317120,On or near Farnsby Street,-1.787890
25,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-30T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.559505,1317120,On or near Farnsby Street,-1.787890
26,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-30T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.560161,1317876,On or near Pedestrian Subway,-1.787844
27,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-30T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.560161,1317876,On or near Pedestrian Subway,-1.787844
28,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2021-12-30T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.208885,1312019,On or near Beechgrove,-2.178718
29,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-30T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.208885,1312019,On or near Beechgrove,-2.178718
30,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-31T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.456097,1315864,On or near Field View,-2.121092
31,10-17,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,Other,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.560161,1317876,On or near Pedestrian Subway,-1.787844
32,over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-01T00:00:00+00:00,False,,Black,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.353403,1314079,On or near Northgate Street,-1.997395
33,25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-01T00:00:00+00:00,False,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.552542,1316843,On or near Priory Road,-1.749659
34,over 34,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-01T00:00:00+00:00,True,,Black,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.559511,1317288,On or near Parking Area,-1.830386
35,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-01T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.351524,1314075,On or near St John'S Street,-1.995054
36,25-34,Caution (simple or conditional),True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-01T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-caution,Caution (simple or conditional),51.410838,1314713,On or near Peacock,-1.813956
37,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-02T00:00:00+00:00,False,,White,Person search,,Evidence of offences under the Act,bu-no-further-action,A no further action disposal,51.353007,1314107,On or near A361,-1.992239
38,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-02T00:00:00+00:00,False,,White,Person search,,Evidence of offences under the Act,bu-no-further-action,A no further action disposal,51.353403,1314079,On or near Northgate Street,-1.997395
39,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-02T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.547567,1316939,On or near Farnborough Road,-1.748547
40,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-03T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.068597,1310423,On or near Silver Street,-1.796761
41,10-17,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.395454,1309531,On or near Prospect Place,-2.291427
42,18-24,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Asian,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.395454,1309531,On or near Prospect Place,-2.291427
43,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.395454,1309531,On or near Prospect Place,-2.291427
44,18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2021-12-04T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.550472,1316982,On or near Newport Street,-1.775183
45,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.550472,1316982,On or near Newport Street,-1.775183
46,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.550472,1316982,On or near Newport Street,-1.775183
47,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.560161,1317876,On or near Pedestrian Subway,-1.787844
48,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.561807,1317889,On or near Catherine Street,-1.788183
49,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-04T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.603536,1319339,On or near Ashleworth Road,-1.803944
50,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-05T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.446646,1315390,On or near St Dunstan Close,-2.008455
51,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-05T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.587615,1318746,On or near Gloucester Road,-2.101436
52,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-05T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.065630,1310489,On or near Green'S Court,-1.791794
53,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-05T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.065630,1310489,On or near Green'S Court,-1.791794
54,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-05T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.324611,1313307,On or near York Buildings,-2.205129
55,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-05T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.329081,1313294,On or near Sports/Recreation Area,-2.209871
56,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-06T00:00:00+00:00,False,,White,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.351739,1314189,On or near Southbroom Road,-1.989468
57,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-06T00:00:00+00:00,False,,White,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.351739,1314189,On or near Southbroom Road,-1.989468
58,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-06T00:00:00+00:00,False,,Other,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.351739,1314189,On or near Southbroom Road,-1.989468
59,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-06T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.559463,1317156,On or near Parking Area,-1.784847
60,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-06T00:00:00+00:00,True,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.549131,1317409,On or near Uxbridge Road,-1.840736
61,over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-06T00:00:00+00:00,False,,White,Person and Vehicle search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.172396,1311440,On or near Springhead,-2.139126
62,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.259824,1312542,On or near Westbourne Road,-2.184476
63,18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.259824,1312542,On or near Westbourne Road,-2.184476
64,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.259824,1312542,On or near Westbourne Road,-2.184476
65,18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.259824,1312542,On or near Westbourne Road,-2.184476
66,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.318437,1313038,On or near Sports/Recreation Area,-2.187237
67,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.036086,1310131,On or near Thorne Close,-1.846791
68,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.038349,1310133,On or near Marsh Lane,-1.844473
69,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.560429,1317782,On or near Ashworth Road,-1.813029
70,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.560429,1317782,On or near Ashworth Road,-1.813029
71,10-17,A no further action disposal,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.563110,1317848,On or near Bridge Street,-1.787542
72,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,True,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.376843,1314546,On or near Vines Court,-2.122635
73,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-08T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.376843,1314546,On or near Vines Court,-2.122635
74,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.567872,1317854,On or near Pedestrian Subway,-1.790954
75,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.567872,1317854,On or near Pedestrian Subway,-1.790954
76,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.567872,1317854,On or near Pedestrian Subway,-1.790954
77,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.567872,1317854,On or near Pedestrian Subway,-1.790954
78,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.567872,1317854,On or near Pedestrian Subway,-1.790954
79,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.567872,1317854,On or near Pedestrian Subway,-1.790954
80,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.070374,1310456,On or near Theatre/Concert Hall,-1.799936
81,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-10T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.070374,1310456,On or near Theatre/Concert Hall,-1.799936
